Species,Longitude,Latitude
Melocactus_zehntneri,-39,-8.475833
Tacinga_inamoena,-37.252064,-8.500417
Tacinga_inamoena,-39.155556,-9.154444
Tacinga_palmadora,-39.155556,-9.154444
Cereus_albicaulis,-39.155556,-9.154444
Pilosocereus_catingicola,-39.155556,-9.154444
Tacinga_inamoena,-41.438889,-11.445278
Tacinga_inamoena,-42.819167,-10.820278
Cereus_jamacaru,-41.438889,-11.445278
Tacinga_inamoena,-41.331111,-11.325833
Pilosocereus_pachycladus,-41.331111,-11.325833
Rhipsalis_floccosa,-39.091389,-12.783889
Melocactus_zehntneri,-38.773611,-11.123333
Tacinga_inamoena,-41.736806,-9.422656
Pilosocereus_pernambucoensis,-37.048372,-10.619922
Cereus_jamacaru,-37.048372,-10.619922
Pilosocereus_catingicola,-38.288425,-9.431728
Cereus_fernambucensis,-36.485781,-10.423942
Tacinga_inamoena,-40.841928,-9.658558
Cereus_jamacaru,-38.288425,-9.431728
Tacinga_inamoena,-38.563889,-10.129497
Tacinga_palmadora,-38.563889,-10.129497
Tacinga_inamoena,-39.4277,-10.501197
Tacinga_inamoena,-42.906758,-11.925972
Tacinga_inamoena,-38.288425,-9.431728
Tacinga_palmadora,-37.724969,-10.260147
Pilosocereus_catingicola,-38.875278,-11.878333
Cereus_jamacaru,-38.875278,-11.878333
Cereus_jamacaru,-39.501389,-12.408333
Cereus_fernambucensis,-39.858889,-12.87
Pilosocereus_pentaedrophorus,-40.86,-14.94
Rhipsalis_floccosa,-39.351389,-15.181389
Tacinga_palmadora,-43.866944,-14.229167
Tacinga_inamoena,-43.866944,-14.229167
Tacinga_inamoena,-42.574167,-14.747222
Tacinga_inamoena,-40.583333,-9.416667
Melocactus_violaceus,-38.9522,-13.9883
Cereus_fernambucensis,-39.039072,-15.159747
Cereus_jamacaru,-35.585278,-6.892222
Epiphyllum_phyllanthus,-40.4908,-12.2997
Rhipsalis_floccosa,-39.0692,-14.7819
Tacinga_palmadora,-34.9503,-8.0128
Rhipsalis_floccosa,-39.58,-15.17
Rhipsalis_floccosa,-37.3889,-10.6875
Cereus_jamacaru,-38.77,-11.86
Tacinga_palmadora,-38.9797,-10.8953
Epiphyllum_phyllanthus,-39.381867,-14.34533
Rhipsalis_floccosa,-39.5378,-14.7728
Tacinga_inamoena,-44.99,-12.15
Cereus_jamacaru,-38.986667,-12.590833
Cereus_jamacaru,-39.999722,-4.071389
Tacinga_palmadora,-39.998611,-4.068889
Pilosocereus_pachycladus,-36.3942,-8.3312
Tacinga_inamoena,-36.3936,-8.3308
Cereus_jamacaru,-36.3956,-8.3319
Melocactus_zehntneri,-36.3947,-8.3343
Tacinga_inamoena,-41.346111,-9.343333
Pilosocereus_pachycladus,-39.3,-11.933333
Cereus_jamacaru,-41.883333,-9.45
Pilosocereus_pachycladus,-40.9,-12.35
Tacinga_palmadora,-41.334167,-10.335556
Tacinga_inamoena,-36.502778,-6.508611
Epiphyllum_phyllanthus,-38.868056,-4.165722
Tacinga_inamoena,-39.85,-12.85
Cereus_jamacaru,-39.85,-12.85
Tacinga_palmadora,-39.85,-12.85
Epiphyllum_phyllanthus,-40.330528,-13.640972
Rhipsalis_lindbergiana,-40.324936,-14.253983
Tacinga_palmadora,-39.25,-8.725833
Tacinga_inamoena,-39.559167,-8.451944
Tacinga_palmadora,-38.409106,-9.887114
Melocactus_ernestii,-36.107778,-8.200278
Cereus_jamacaru,-36.043056,-8.448056
Pilosocereus_catingicola,-37.233611,-8.518889
Cereus_jamacaru,-43.463056,-15.709167
Tacinga_inamoena,-43.463056,-15.709167
Tacinga_inamoena,-43.15,-11.816667
Pilosocereus_pachycladus,-42.530833,-14.534444
Pilosocereus_pachycladus,-42.056583,-16.028639
Cereus_albicaulis,-41.288889,-11.650556
Cereus_jamacaru,-36.370056,-10.373194
Cereus_albicaulis,-39.695833,-9.210556
Tacinga_inamoena,-39.599444,-9.938889
Melocactus_zehntneri,-41.404444,-3.535833
Cereus_jamacaru,-41.406667,-3.385556
Cereus_jamacaru,-42.057222,-16.864722
Rhipsalis_floccosa,-41.902778,-13.908333
Tacinga_inamoena,-41.277778,-16.02
Cereus_jamacaru,-40.928333,-5.93
Cereus_jamacaru,-36.406111,-8.41
Pilosocereus_pachycladus,-36.406111,-8.41
Tacinga_inamoena,-38.384167,-7.384722
Cereus_jamacaru,-38.384167,-7.384722
Tacinga_inamoena,-40.319722,-9.330278
Melocactus_zehntneri,-40.319722,-9.330278
Cereus_jamacaru,-38.968056,-12.979444
Cereus_fernambucensis,-34.985556,-8.205833
Epiphyllum_phyllanthus,-34.985556,-8.205833
Pilosocereus_pentaedrophorus,-35.843944,-8.381944
Cereus_jamacaru,-37.2,-9.911094
Rhipsalis_floccosa,-36.516219,-9.970525
Melocactus_violaceus,-36.696636,-9.93395
Tacinga_palmadora,-38.567075,-9.4371
Epiphyllum_phyllanthus,-38.136744,-9.468572
Pilosocereus_pernambucoensis,-36.794011,-9.534075
Rhipsalis_floccosa,-36.794011,-9.534075
Epiphyllum_phyllanthus,-36.794011,-9.534075
Epiphyllum_phyllanthus,-36.656181,-9.755408
Rhipsalis_floccosa,-36.656181,-9.755408
Rhipsalis_floccosa,-36.507522,-9.436506
Epiphyllum_phyllanthus,-36.507522,-9.436506
Epiphyllum_phyllanthus,-36.4054,-9.627778
Rhipsalis_floccosa,-36.571675,-9.527539
Epiphyllum_phyllanthus,-36.191519,-10.094019
Pilosocereus_catingicola,-36.435717,-10.293264
Cereus_fernambucensis,-36.435717,-10.293264
Cereus_jamacaru,-36.4054,-9.627778
Cereus_jamacaru,-37.420647,-9.627656
Pilosocereus_pachycladus,-43.017778,-15.091944
Melocactus_zehntneri,-44.953611,-12.379167
Tacinga_inamoena,-43.8575,-8.945833
Rhipsalis_floccosa,-40.040417,-16.402806
Pilosocereus_pentaedrophorus,-41.5,-12.383333
Cereus_jamacaru,-41.548333,-12.996944
Cereus_jamacaru,-41.573611,-12.924167
Pilosocereus_pachycladus,-41.5,-12.383333
Pilosocereus_pachycladus,-41.116667,-13.216667
Cereus_jamacaru,-41.5,-12.383333
Pilosocereus_catingicola,-38.0175,-9.563333
Tacinga_palmadora,-40.491667,-10.482222
Rhipsalis_lindbergiana,-40.483333,-10.483333
Epiphyllum_phyllanthus,-39.7,-12.716667
Tacinga_inamoena,-40.388889,-9.688917
Tacinga_palmadora,-39.7,-12.716667
Pilosocereus_pentaedrophorus,-41.266667,-13.416667
Tacinga_inamoena,-42.766667,-11.016667
Melocactus_bahiensis,-42.733333,-11.116667
Pilosocereus_pachycladus,-42.733333,-11.116667
Melocactus_bahiensis,-41.633333,-13.55
Pilosocereus_catingicola,-41.233333,-16.1
Melocactus_ernestii,-43.066667,-15.816667
Tacinga_inamoena,-38.833333,-8.083333
